mdl,dset,mse_pred_train,mse_pred_test,mse_sim_train,mse_sim_test,seed,proportion,param_norm
Linear(),"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",0.3130308033526641,0.3125537749212332,0.47364025758614275,0.4751194033044947,0,0.0,
Linear(),"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",0.3130308033526641,0.3125537749212332,0.47364025758614275,0.4751194033044947,1,0.0,
Linear(),"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",0.3130308033526641,0.3125537749212332,0.47364025758614275,0.4751194033044947,2,0.0,
Linear(),"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",0.3130308033526641,0.3125537749212332,0.47364025758614275,0.4751194033044947,3,0.0,
Linear(),"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",0.3130308033526641,0.3125537749212332,0.47364025758614275,0.4751194033044947,4,0.0,
Linear(),"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",0.3130308033526641,0.3125537749212332,0.47364025758614275,0.4751194033044947,5,0.0,
Linear(),"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",0.3130308033526641,0.3125537749212332,0.47364025758614275,0.4751194033044947,6,0.0,
Linear(),"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",0.3130308033526641,0.3125537749212332,0.47364025758614275,0.4751194033044947,7,0.0,
Linear(),"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",0.3130308033526641,0.3125537749212332,0.47364025758614275,0.4751194033044947,8,0.0,
Linear(),"ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",0.3130308033526641,0.3125537749212332,0.47364025758614275,0.4751194033044947,9,0.0,
"RBFSampler(39,0.6,0,100,1e-07)","ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",0.7718977894353436,1.0981785250011344,3.63265846385112,3.3597429592592887,0,0.1,15.776537165256205
"RBFSampler(41,0.6,0,100,1e-07)","ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",0.6795644564736497,0.627342119177398,1.7786982331205212,1.9968142836378056,0,0.10481131341546858,13.268249517882639
"RBFSampler(43,0.6,0,100,1e-07)","ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",0.8860747159597124,0.6776171637465496,2.1753853292769127,2.0237775280471904,0,0.10985411419875583,13.579049306270841
"RBFSampler(45,0.6,0,100,1e-07)","ChenDSet(400,100,0.1,0,1.0,1,0.7,1)",1.6582926833140066,2.2067645418833672,3.765921774227021,3.6833964615217503,0,0.11513953993264472,11.239294984236164
